[TRACEID:] 2023-02-16 20:20:51.410 [restartedMain] INFO  com.niceben.projecttools.ProjectToolsApplication - Starting ProjectToolsApplication using Java 1.8.0_144 on DESKTOP-16RODP4 with PID 28340 (E:\2022workspaceSC\project-collect\project-tools\target\classes started by dell in E:\2022workspaceSC\project-collect)
[TRACEID:] 2023-02-16 20:20:51.416 [restartedMain] INFO  com.niceben.projecttools.ProjectToolsApplication - No active profile set, falling back to 1 default profile: "default"
[TRACEID:] 2023-02-16 20:20:51.506 [restartedMain] INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
[TRACEID:] 2023-02-16 20:20:51.506 [restartedMain] INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
[TRACEID:] 2023-02-16 20:21:25.193 [restartedMain] INFO  com.niceben.projecttools.ProjectToolsApplication - Starting ProjectToolsApplication using Java 1.8.0_144 on DESKTOP-16RODP4 with PID 30576 (E:\2022workspaceSC\project-collect\project-tools\target\classes started by dell in E:\2022workspaceSC\project-collect)
[TRACEID:] 2023-02-16 20:21:25.195 [restartedMain] INFO  com.niceben.projecttools.ProjectToolsApplication - No active profile set, falling back to 1 default profile: "default"
[TRACEID:] 2023-02-16 20:21:25.249 [restartedMain] INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
[TRACEID:] 2023-02-16 20:21:25.250 [restartedMain] INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
[TRACEID:] 2023-02-16 20:21:27.735 [restartedMain] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 9001 (http)
[TRACEID:] 2023-02-16 20:21:27.737 [restartedMain] INFO  org.apache.catalina.core.AprLifecycleListener - Loaded Apache Tomcat Native library [1.2.35] using APR version [1.7.0].
[TRACEID:] 2023-02-16 20:21:27.737 [restartedMain] INFO  org.apache.catalina.core.AprLifecycleListener - APR capabilities: IPv6 [true], sendfile [true], accept filters [false], random [true], UDS [true].
[TRACEID:] 2023-02-16 20:21:27.737 [restartedMain] INFO  org.apache.catalina.core.AprLifecycleListener - APR/OpenSSL configuration: useAprConnector [false], useOpenSSL [true]
[TRACEID:] 2023-02-16 20:21:27.742 [restartedMain] INFO  org.apache.catalina.core.AprLifecycleListener - OpenSSL successfully initialized [OpenSSL 1.1.1q  5 Jul 2022]
[TRACEID:] 2023-02-16 20:21:27.754 [restartedMain] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-9001"]
[TRACEID:] 2023-02-16 20:21:27.755 [restartedMain] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
[TRACEID:] 2023-02-16 20:21:27.755 [restartedMain] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.64]
[TRACEID:] 2023-02-16 20:21:27.864 [restartedMain] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
[TRACEID:] 2023-02-16 20:21:27.864 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 2614 ms
[TRACEID:] 2023-02-16 20:21:28.885 [restartedMain] WARN  o.s.b.d.autoconfigure.OptionalLiveReloadServer - Unable to start LiveReload server
[TRACEID:] 2023-02-16 20:21:28.903 [restartedMain] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-9001"]
[TRACEID:] 2023-02-16 20:21:28.941 [restartedMain] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 9001 (http) with context path ''
[TRACEID:] 2023-02-16 20:21:28.952 [restartedMain] INFO  com.niceben.projecttools.ProjectToolsApplication - Started ProjectToolsApplication in 4.468 seconds (JVM running for 5.65)
[TRACEID:] 2023-02-16 20:22:36.278 [http-nio-9001-exec-2] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
[TRACEID:] 2023-02-16 20:22:36.278 [http-nio-9001-exec-2] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
[TRACEID:] 2023-02-16 20:22:36.279 [http-nio-9001-exec-2] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 1 ms
