[TRACEID:] 2023-02-21 10:20:43.037 [restartedMain] INFO  com.niceben.projecttools.ProjectToolsApplication - Starting ProjectToolsApplication using Java 1.8.0_144 on DESKTOP-16RODP4 with PID 36488 (E:\2022workspaceSC\project-collect\project-tools\target\classes started by dell in E:\2022workspaceSC\project-collect)
[TRACEID:] 2023-02-21 10:20:43.051 [restartedMain] INFO  com.niceben.projecttools.ProjectToolsApplication - The following 1 profile is active: "dev"
[TRACEID:] 2023-02-21 10:20:43.168 [restartedMain] INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
[TRACEID:] 2023-02-21 10:20:43.168 [restartedMain] INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
[TRACEID:] 2023-02-21 10:20:45.768 [restartedMain] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 9001 (http)
[TRACEID:] 2023-02-21 10:20:45.769 [restartedMain] INFO  org.apache.catalina.core.AprLifecycleListener - Loaded Apache Tomcat Native library [1.2.35] using APR version [1.7.0].
[TRACEID:] 2023-02-21 10:20:45.769 [restartedMain] INFO  org.apache.catalina.core.AprLifecycleListener - APR capabilities: IPv6 [true], sendfile [true], accept filters [false], random [true], UDS [true].
[TRACEID:] 2023-02-21 10:20:45.770 [restartedMain] INFO  org.apache.catalina.core.AprLifecycleListener - APR/OpenSSL configuration: useAprConnector [false], useOpenSSL [true]
[TRACEID:] 2023-02-21 10:20:45.835 [restartedMain] INFO  org.apache.catalina.core.AprLifecycleListener - OpenSSL successfully initialized [OpenSSL 1.1.1q  5 Jul 2022]
[TRACEID:] 2023-02-21 10:20:45.869 [restartedMain] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-9001"]
[TRACEID:] 2023-02-21 10:20:45.870 [restartedMain] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
[TRACEID:] 2023-02-21 10:20:45.870 [restartedMain] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.64]
[TRACEID:] 2023-02-21 10:20:45.993 [restartedMain] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
[TRACEID:] 2023-02-21 10:20:45.993 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 2823 ms
[TRACEID:] 2023-02-21 10:20:47.264 [restartedMain] INFO  o.s.b.d.autoconfigure.OptionalLiveReloadServer - LiveReload server is running on port 35729
[TRACEID:] 2023-02-21 10:20:47.307 [restartedMain] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-9001"]
[TRACEID:] 2023-02-21 10:20:47.341 [restartedMain] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 9001 (http) with context path ''
[TRACEID:] 2023-02-21 10:20:47.351 [restartedMain] INFO  com.niceben.projecttools.ProjectToolsApplication - Started ProjectToolsApplication in 5.226 seconds (JVM running for 6.356)
[TRACEID:] 2023-02-21 10:22:25.448 [restartedMain] INFO  com.niceben.projecttools.ProjectToolsApplication - Starting ProjectToolsApplication using Java 1.8.0_144 on DESKTOP-16RODP4 with PID 42740 (E:\2022workspaceSC\project-collect\project-tools\target\classes started by dell in E:\2022workspaceSC\project-collect)
[TRACEID:] 2023-02-21 10:22:25.450 [restartedMain] INFO  com.niceben.projecttools.ProjectToolsApplication - The following 1 profile is active: "dev"
[TRACEID:] 2023-02-21 10:22:25.503 [restartedMain] INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
[TRACEID:] 2023-02-21 10:22:25.503 [restartedMain] INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
[TRACEID:] 2023-02-21 10:22:27.112 [restartedMain] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 9001 (http)
[TRACEID:] 2023-02-21 10:22:27.114 [restartedMain] INFO  org.apache.catalina.core.AprLifecycleListener - Loaded Apache Tomcat Native library [1.2.35] using APR version [1.7.0].
[TRACEID:] 2023-02-21 10:22:27.114 [restartedMain] INFO  org.apache.catalina.core.AprLifecycleListener - APR capabilities: IPv6 [true], sendfile [true], accept filters [false], random [true], UDS [true].
[TRACEID:] 2023-02-21 10:22:27.114 [restartedMain] INFO  org.apache.catalina.core.AprLifecycleListener - APR/OpenSSL configuration: useAprConnector [false], useOpenSSL [true]
[TRACEID:] 2023-02-21 10:22:27.117 [restartedMain] INFO  org.apache.catalina.core.AprLifecycleListener - OpenSSL successfully initialized [OpenSSL 1.1.1q  5 Jul 2022]
[TRACEID:] 2023-02-21 10:22:27.127 [restartedMain] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-9001"]
[TRACEID:] 2023-02-21 10:22:27.128 [restartedMain] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
[TRACEID:] 2023-02-21 10:22:27.129 [restartedMain] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.64]
[TRACEID:] 2023-02-21 10:22:27.229 [restartedMain] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
[TRACEID:] 2023-02-21 10:22:27.229 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1725 ms
[TRACEID:] 2023-02-21 10:22:27.926 [restartedMain] INFO  o.s.b.d.autoconfigure.OptionalLiveReloadServer - LiveReload server is running on port 35729
[TRACEID:] 2023-02-21 10:22:27.945 [restartedMain] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-9001"]
[TRACEID:] 2023-02-21 10:22:27.969 [restartedMain] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 9001 (http) with context path ''
[TRACEID:] 2023-02-21 10:22:27.980 [restartedMain] INFO  com.niceben.projecttools.ProjectToolsApplication - Started ProjectToolsApplication in 3.257 seconds (JVM running for 4.306)
